127.0.0.1 - - [11/May/2022:09:36:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:34 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:38:53 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [11/May/2022:09:38:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:38:54 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [11/May/2022:09:38:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:00 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:43:49 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [11/May/2022:09:43:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:45:37 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [11/May/2022:09:45:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:45:53 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [11/May/2022:09:45:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:45:55 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [11/May/2022:09:45:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/May/2022:09:45:55 +0900] "GET /html5_2/Pseudo/index.html HTTP/1.1" 200 763
