127.0.0.1 - - [28/Jun/2022:20:03:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:03:43 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:03:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:04:37 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:05:12 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:05:42 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:21:14 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:38:51 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:38:51 +0900] "GET /EZEN_Board/userBoard/boardList.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:43:56 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:43:56 +0900] "GET /EZEN_Board/userBoard/boardList.css HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:44:12 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:44:12 +0900] "GET /EZEN_Board/userBoard/boardList.css HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [28/Jun/2022:20:44:13 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 1016
