127.0.0.1 - - [05/Jul/2022:16:37:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:37:37 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 7828
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:37:37 +0900] "GET /EZEN_Board/img/hugo_blue.png HTTP/1.1" 200 491576
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:37:37 +0900] "GET /EZEN_Board/userBoard/boardList.css HTTP/1.1" 200 2650
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:37:37 +0900] "GET /EZEN_Board/img/hugo_white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:37:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:04 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 7828
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:04 +0900] "GET /EZEN_Board/userBoard/boardList.css HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:04 +0900] "GET /EZEN_Board/img/hugo_blue.png HTTP/1.1" 200 491576
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:04 +0900] "GET /EZEN_Board/img/hugo_white.png HTTP/1.1" 200 293986
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:05 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 7828
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:05 +0900] "GET /EZEN_Board/userBoard/boardList.css HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:05 +0900] "GET /EZEN_Board/img/hugo_blue.png HTTP/1.1" 200 491576
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:05 +0900] "GET /EZEN_Board/img/hugo_white.png HTTP/1.1" 200 293986
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jul/2022:16:39:05 +0900] "GET /EZEN_Board/userBoard/boardList.jsp HTTP/1.1" 200 7828
